Date,Time,Voltage,Current,Power
10/26/20,15: 49: 14,155.9,0.18,19
10/26/20,15: 49: 14,155.9,0.18,19
10/26/20,15: 49: 14,155.8,0.18,19
10/26/20,15: 49: 14,155.8,0.18,17
10/26/20,15: 49: 14,153.7,0.18,17
10/26/20,15: 49: 14,153.7,0.17,17
10/26/20,15: 49: 14,153.7,0.17,18
10/26/20,15: 49: 14,155.6,0.17,18
10/26/20,15: 49: 14,155.6,0.19,20
10/26/20,15: 49: 14,155.6,0.19,19
10/26/20,15: 49: 14,152.1,0.19,19
10/26/20,15: 49: 14,152.1,0.18,18
10/26/20,15: 49: 14,154.5,0.18,18
10/26/20,15: 49: 14,154.5,0.17,18
10/26/20,15: 49: 14,154.5,0.17,18
10/26/20,15: 49: 14,155.2,0.17,17
10/26/20,15: 49: 14,155.2,0.17,17
10/26/20,15: 49: 14,155.2,0.17,18
10/26/20,15: 49: 14,146.3,0.17,20
10/26/20,15: 49: 14,146.3,0.21,21
10/26/20,15: 49: 14,145.8,0.21,21
10/26/20,15: 49: 14,145.8,0.2,21
10/26/20,15: 49: 14,145.8,0.2,20
10/26/20,15: 49: 14,148.5,0.2,18
10/26/20,15: 49: 14,148.5,0.18,17
10/26/20,15: 49: 14,148.5,0.18,17
10/26/20,15: 49: 14,151.9,0.18,16
10/26/20,15: 49: 14,151.9,0.17,20
10/26/20,15: 49: 14,151.4,0.17,20
10/26/20,15: 49: 14,151.4,0.14,10
10/26/20,15: 49: 14,151.4,0.14,10
10/26/20,15: 49: 14,150.4,0.14,9
10/26/20,15: 49: 14,150.4,0.1,9
10/26/20,15: 49: 14,150.4,0.1,9
10/26/20,15: 49: 14,149.4,0.1,8
10/26/20,15: 49: 14,149.4,0.11,9
10/26/20,15: 49: 14,149.8,0.11,9
10/26/20,15: 49: 14,149.8,0.1,9
10/26/20,15: 49: 14,149.8,0.1,8
10/26/20,15: 49: 14,147.4,0.1,9
10/26/20,15: 49: 14,147.4,0.11,10
10/26/20,15: 49: 14,147.4,0.11,8
10/26/20,15: 49: 14,148.3,0.11,9
10/26/20,15: 49: 14,148.3,0.14,8
10/26/20,15: 49: 14,145.6,0.14,8
10/26/20,15: 49: 14,145.6,0.1,9
10/26/20,15: 49: 14,145.6,0.1,9
10/26/20,15: 49: 14,148.6,0.1,8
10/26/20,15: 49: 14,148.6,0.11,10
10/26/20,15: 49: 14,148.6,0.11,18
10/26/20,15: 49: 14,153.9,0.11,19
10/26/20,15: 49: 14,153.9,0.17,18
10/26/20,15: 49: 14,157.8,0.17,18
10/26/20,15: 49: 14,157.8,0.17,18
10/26/20,15: 49: 14,157.8,0.17,18
10/26/20,15: 49: 14,152.9,0.17,18
10/26/20,15: 49: 14,152.9,0.17,20
10/26/20,15: 49: 14,152.9,0.17,18
10/26/20,15: 49: 14,151.4,0.17,18
10/26/20,15: 49: 14,151.4,0.18,17
10/26/20,15: 49: 14,149.9,0.18,17
10/26/20,15: 49: 14,149.9,0.17,17
10/26/20,15: 49: 14,149.9,0.17,19
10/26/20,15: 49: 14,157.3,0.17,19
10/26/20,15: 49: 14,157.3,0.17,18
10/26/20,15: 49: 14,157.3,0.17,17
10/26/20,15: 49: 14,156.4,0.17,18
10/26/20,15: 49: 14,156.4,0.17,17
10/26/20,15: 49: 14,156.3,0.17,17
10/26/20,15: 49: 14,156.3,0.17,17
10/26/20,15: 49: 14,156.3,0.17,19
10/26/20,15: 49: 14,150.8,0.17,17
10/26/20,15: 49: 14,150.8,0.19,23
10/26/20,15: 49: 14,150.8,0.19,18
10/26/20,15: 49: 14,149.6,0.19,20
10/26/20,15: 49: 14,149.6,0.18,17
10/26/20,15: 49: 14,155.9,0.18,17
10/26/20,15: 49: 14,155.9,0.2,17
10/26/20,15: 49: 14,155.9,0.2,17
10/26/20,15: 49: 14,154.4,0.2,18
10/26/20,15: 49: 14,154.4,0.17,18
10/26/20,15: 49: 14,154.4,0.17,17
10/26/20,15: 49: 14,153.2,0.17,24
